# Griglia grossa @FDAX 240m Breakout di sessione, motore nudo (pattern spenti, nessun filtro orario), 200 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
sessions;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
3;8000;0;21;0;1185;70009.45;70259.54;1.06;1052;-264862.15;271422.95;0.84;1
3;8000;2500;-1;0;1228;-60001.93;143837.49;0.95;1106;-189082.01;201580.17;0.87;0
3;8000;2500;21;0;1222;22384.23;79518.12;1.02;1101;-148555.99;161981.67;0.89;1
3;8000;4500;-1;0;1211;-53314.41;147611.55;0.96;1089;-93081.44;122714.58;0.94;1
3;8000;4500;21;0;1202;49885.96;78546.76;1.04;1080;-40292.53;83412.43;0.97;1
3;8000;9000;-1;0;1194;-37514.89;146908.13;0.97;1068;-312645.06;322482.18;0.82;1
3;8000;9000;21;0;1189;75904.36;69824.54;1.06;1060;-288626.58;295187.38;0.83;1
3;8000;18000;-1;0;1190;-59334.88;168090.41;0.96;1057;-269423.85;279260.97;0.84;0
3;8000;18000;21;0;1185;58964.2;70259.54;1.05;1052;-248247.15;254807.95;0.85;1
3;12000;0;-1;0;1183;-49853.56;172479.9;0.96;1046;-293328.56;306103.23;0.83;1
3;12000;0;21;0;1179;72316.21;72706.61;1.06;1040;-283960.13;290520.93;0.83;1
3;12000;2500;-1;0;1223;-45513.63;143896.33;0.96;1098;-210717.38;223215.54;0.86;0
3;12000;2500;21;0;1217;39750.78;63846.95;1.04;1091;-173438.39;186864.07;0.88;1
3;12000;4500;-1;0;1204;-36937.62;145603.45;0.97;1079;-114089.12;129045.29;0.93;1
3;12000;4500;21;0;1196;71406.97;72085.45;1.06;1069;-67433.97;135624.05;0.96;1
3;12000;9000;-1;0;1187;-31338.45;154602.5;0.98;1057;-323269.02;333106.15;0.82;1
3;12000;9000;21;0;1183;80821.12;70860.45;1.07;1048;-303562.06;310122.86;0.82;1
3;12000;18000;-1;0;1183;-57158.43;179784.78;0.96;1046;-289792.44;302567.11;0.83;1
3;12000;18000;21;0;1179;61270.96;72706.61;1.05;1040;-280182.63;286743.43;0.83;1
5;1000;0;-1;0;1002;114099.83;37373.86;1.17;884;-23280.99;78140.57;0.97;2
5;1000;0;21;0;998;151976.7;32636.2;1.24;883;-14662.06;84252.72;0.98;2
5;1000;2500;-1;0;1027;37859.48;45178.26;1.06;903;-27112.11;76061.51;0.96;2
5;1000;2500;21;0;1022;58232.46;42267.23;1.09;902;-24966.3;72855.94;0.96;2
5;1000;4500;-1;0;1017;78600.83;35819.61;1.12;895;59439.83;41212.74;1.09;2
5;1000;4500;21;0;1011;108433.29;33128.7;1.17;894;64077.64;47148.31;1.1;2
5;1000;9000;-1;0;1005;95229.73;37373.86;1.14;888;17638.72;58699.71;1.03;2
5;1000;9000;21;0;1001;136315.32;32636.2;1.21;886;18025.82;60660.67;1.03;2
5;1000;18000;-1;0;1002;99242.46;37373.86;1.15;884;-4280.99;67816.61;0.99;2
5;1000;18000;21;0;998;140931.45;32636.2;1.22;883;4337.95;71839.95;1.01;2
5;2500;0;-1;0;980;128161.5;44335.4;1.14;860;-40933.2;87400.23;0.96;1
5;2500;0;21;0;977;181868.81;31166.04;1.21;860;-40232.08;94374.93;0.96;2
5;2500;2500;-1;0;1008;69880.45;46452.17;1.08;891;-25347.54;79553.71;0.97;2
5;2500;2500;21;0;1004;97677.19;36164.35;1.12;891;-20275.59;66293.45;0.98;2
5;2500;4500;-1;0;998;119069.42;42599.07;1.13;878;63777.62;46741.02;1.06;2
5;2500;4500;21;0;993;164207.02;41058.3;1.19;877;68806.86;50077.19;1.07;2
5;2500;9000;-1;0;984;124210.79;46106.25;1.14;866;-30882.36;82061.62;0.97;1
5;2500;9000;21;0;981;178177.72;31166.04;1.21;865;-29856.13;85964.93;0.97;1
5;2500;18000;-1;0;980;120856.63;44335.4;1.13;860;-33375.33;84644.86;0.97;1
5;2500;18000;21;0;977;170823.56;31166.04;1.2;860;-26339.58;89262.43;0.97;2
5;5000;0;-1;0;967;52725.38;69998.28;1.05;849;-110006.12;138827.16;0.91;1
5;5000;0;21;0;965;149372.85;48807.47;1.16;849;-119944.47;119944.47;0.9;1
5;5000;2500;-1;0;998;13352.52;62156.7;1.01;883;-79653.71;101548.35;0.93;0
5;5000;2500;21;0;994;71464.06;45492.31;1.08;883;-64810.36;86135.68;0.94;1
5;5000;4500;-1;0;987;60921.43;55271.67;1.06;869;15618.64;53748.34;1.01;1
5;5000;4500;21;0;981;142872.07;50621.43;1.16;867;26031.51;59002.04;1.02;1
5;5000;9000;-1;0;971;51312.79;64390.55;1.05;855;-118262.2;137829.34;0.91;1
5;5000;9000;21;0;969;144025.26;44668.92;1.15;854;-124053.52;124053.52;0.9;1
5;5000;18000;-1;0;967;45420.51;69998.28;1.04;849;-103013.24;138827.16;0.92;1
5;5000;18000;21;0;965;138327.6;48807.47;1.15;849;-106329.47;106329.47;0.91;1
5;8000;0;-1;0;960;31733.13;72529.34;1.03;845;-210405.8;213645.43;0.85;1
5;8000;0;21;0;958;132735.32;52753.17;1.14;845;-205237.98;205237.98;0.84;1
5;8000;2500;-1;0;991;17676.72;55029.32;1.02;881;-164245.66;175041.72;0.86;0
5;8000;2500;21;0;987;77353.78;40271.49;1.09;881;-142335.04;151739.61;0.87;1
5;8000;4500;-1;0;980;44540.65;66468.53;1.04;867;-46578.6;85750.3;0.96;1
5;8000;4500;21;0;974;131976.79;61073.3;1.14;865;-17608.18;88078.29;0.99;1
5;8000;9000;-1;0;964;47290.16;66959.74;1.05;852;-229173.6;232413.22;0.84;1
5;8000;9000;21;0;962;142687.73;52318.17;1.15;851;-216012.99;216012.99;0.84;1
5;8000;18000;-1;0;960;24428.25;72529.34;1.02;845;-200412.93;203652.55;0.85;1
5;8000;18000;21;0;958;121690.07;52753.17;1.13;845;-188622.98;188622.98;0.86;1
5;12000;0;-1;0;955;23449.63;85263.31;1.02;842;-220375.17;223614.8;0.84;1
5;12000;0;21;0;952;122536.33;61207.09;1.13;842;-225762.1;225762.1;0.83;1
5;12000;2500;-1;0;988;20430.27;66513.24;1.02;879;-177003.54;189234.19;0.85;0
5;12000;2500;21;0;983;80970.37;48418.03;1.09;879;-161470.12;174570.65;0.86;1
5;12000;4500;-1;0;976;56590.19;64571.62;1.06;865;-69594.55;120934.38;0.95;1
5;12000;4500;21;0;969;146831.09;55544.84;1.16;863;-51595.76;141911.83;0.96;1
5;12000;9000;-1;0;959;43006.66;77394.59;1.04;849;-235855.09;239094.72;0.84;1
5;12000;9000;21;0;956;135098.74;53967.09;1.14;848;-232374.61;232374.61;0.83;1
5;12000;18000;-1;0;955;16144.75;85263.31;1.02;842;-216839.05;220078.67;0.85;1
5;12000;18000;21;0;952;111491.08;61207.09;1.11;842;-221984.6;221984.6;0.84;1
