# Griglia grossa @FDAX 240m Volatility breakout (range d1), motore nudo (pattern spenti, nessun filtro orario), 600 combinazioni.
# volMultTenths e' un intero da dividere per 10: il valore passato alla classe e' volMultTenths/10.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
volMultTenths;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
10;5000;4500;21;2;302;5422.08;28186.14;1.02;276;-11627.09;59139.85;0.97;2
10;5000;9000;-1;0;561;33684.14;36929.42;1.07;481;-13688.46;84570.13;0.98;2
10;5000;9000;-1;1;281;6262.29;39663.68;1.03;220;39144.7;29502.53;1.18;2
10;5000;9000;-1;2;304;21155.54;37611.23;1.07;277;-50979.67;83492.11;0.87;2
10;5000;9000;21;0;558;22828.35;36134.31;1.05;478;-31192.96;86568.09;0.94;2
10;5000;9000;21;1;280;7740.4;29791.12;1.04;220;19184.5;35475.31;1.09;2
10;5000;9000;21;2;302;11295.58;29951.48;1.04;276;-48187.34;93185.71;0.87;2
10;5000;18000;-1;0;561;7674.22;48802.69;1.02;481;-21828.99;84570.13;0.96;2
10;5000;18000;-1;1;281;-1485.01;39797.58;0.99;220;57069.3;29502.53;1.26;2
10;5000;18000;-1;2;304;19187.91;37611.23;1.06;277;-76152.3;92958.23;0.8;1
10;5000;18000;21;0;558;8018.97;43329.45;1.02;478;-41450.46;86568.09;0.93;2
10;5000;18000;21;1;280;4773.9;29791.12;1.02;220;27102;34725.31;1.13;2
10;5000;18000;21;2;302;15692.71;29951.48;1.05;276;-65469.84;104808.21;0.82;2
10;8000;0;-1;0;561;-1578.94;53899.54;1;481;-33457.16;94072.78;0.95;2
10;8000;0;-1;1;281;-12174.61;44390.77;0.95;220;57798.75;34007.73;1.26;2
10;8000;0;-1;2;304;13445.41;33990.98;1.04;277;-88001.17;104585.73;0.78;1
10;8000;0;21;0;558;-327.28;54834.45;1;478;-57134.46;101979.31;0.9;1
10;8000;0;21;1;280;-6295.85;33904.96;0.97;220;25084;31941.68;1.12;2
10;8000;0;21;2;302;11053.71;36001.89;1.04;276;-81695.84;119038.21;0.79;2
10;8000;2500;-1;0;561;-9593.44;40553.9;0.98;481;-4362.86;60812.31;0.99;2
10;8000;2500;-1;1;281;473.94;34762.5;1;220;29957.7;24829.83;1.15;2
10;8000;2500;-1;2;304;-8491.59;35631.84;0.97;277;-38980.42;66295.84;0.88;1
10;8000;2500;21;0;558;2568.05;44351.8;1.01;478;5138.67;48954.09;1.01;3
10;8000;2500;21;1;280;5485.85;21192.05;1.03;220;29475.25;22607.26;1.17;3
10;8000;2500;21;2;302;-9002.67;44380.79;0.97;276;-34643.96;63391.59;0.89;2
10;8000;4500;-1;0;561;-12726.14;42387.51;0.98;481;20658.94;71422.26;1.04;2
10;8000;4500;-1;1;281;-17233.71;49508.82;0.93;220;41572.95;25481.18;1.2;3
10;8000;4500;-1;2;304;-4486.34;31560.3;0.99;277;-17817.55;70167.37;0.95;2
10;8000;4500;21;0;558;-9757.81;38581.95;0.98;478;16757.8;65025.79;1.03;2
10;8000;4500;21;1;280;-12262.75;34715.44;0.95;220;36051;21644;1.19;3
10;8000;4500;21;2;302;-3739.92;31872.04;0.99;276;-20600.59;64837.25;0.94;2
10;8000;9000;-1;0;561;14140.87;47599.97;1.03;481;-35552.79;94072.78;0.94;2
10;8000;9000;-1;1;281;-4427.31;43436.67;0.98;220;32363;34007.73;1.14;2
10;8000;9000;-1;2;304;9445.41;33990.98;1.03;277;-65553.55;97844.6;0.84;2
10;8000;9000;21;0;558;8004.1;47594.45;1.02;478;-41026.96;91656.81;0.93;1
10;8000;9000;21;1;280;-3329.35;33904.96;0.99;220;21764;32128.81;1.1;2
10;8000;9000;21;2;302;4446.08;36001.89;1.01;276;-63160.84;106163.21;0.84;2
10;8000;18000;-1;0;561;-11869.06;53899.54;0.98;481;-43693.31;94072.78;0.93;2
10;8000;18000;-1;1;281;-12174.61;44390.77;0.95;220;50287.6;34007.73;1.22;2
10;8000;18000;-1;2;304;7477.79;33990.98;1.02;277;-90726.17;107310.73;0.78;1
10;8000;18000;21;0;558;-6805.28;54834.45;0.99;478;-51284.46;96129.31;0.91;1
10;8000;18000;21;1;280;-6295.85;33904.96;0.97;220;29681.5;31941.68;1.14;2
10;8000;18000;21;2;302;8843.21;36001.89;1.03;276;-80443.34;117785.71;0.79;2
10;12000;0;-1;0;561;56.49;58142.82;1;481;-40587.69;94667.98;0.93;2
10;12000;0;-1;1;281;-8762.81;44144.53;0.96;220;60740.85;30677.93;1.27;2
10;12000;0;-1;2;304;11669.04;32873.86;1.04;277;-102073.8;116982.98;0.76;0
10;12000;0;21;0;558;13306.47;60981.95;1.03;478;-64046.96;104746.81;0.89;1
10;12000;0;21;1;280;-149.6;35194.96;1;220;27779;31826.31;1.13;2
