n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1836,263601.0,938181.0,674580.0,1.390763141510273,0.5642701525054467,143.5735294117647,905.5801158301158,-843.225,19759.0,16959.0,0.19759,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.028417949856032413,13.340806720987905,137.62286182525864,1.538492029603109,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2250,7500,692,59097.0,860787.0,801690.0,1.0737155259514277,0.4147398843930636,85.40028901734104,2999.257839721254,-1979.4814814814815,54032.0,49400.0,0.54032,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.12675770343672269,1.0937407462244595,632.6910672284549,0.5533974753057804,True,False,False
1836,262651.0,937231.0,674580.0,1.3893548578374693,0.5642701525054467,143.05610021786492,904.6631274131274,-843.225,19965.0,16959.0,0.19965,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03645902737853654,13.15557225144002,139.56063369261872,1.5250183842755485,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2250,0,692,46842.0,853050.0,806208.0,1.0581016313407954,0.41184971098265893,67.6907514450867,2993.157894736842,-1980.8550368550368,59375.0,55258.0,0.59375,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.35205584731651085,0.7889178947368422,877.1508475299945,0.418437769730871,False,False,False
1861,259661.0,956283.0,696622.0,1.3727430371133844,0.5685115529285331,139.527673293928,903.859168241966,-867.5242839352428,19197.0,15891.0,0.19197,10,10,1.0,186.1,37.45784297046481,0.20127803853017093,77,0.023072390539973273,13.526123873521904,137.5856096987996,1.5168653276887802,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,6000,758,83313.0,998951.0,915638.0,1.0909890153095436,0.44327176781002636,109.91160949868073,2973.0684523809523,-2169.7582938388628,46099.0,43195.0,0.46099,5,4,0.8,151.6,45.692887849204716,0.3014042734116406,78,0.07190954592920673,1.8072626304258226,419.4188421974962,0.7710830737480485,True,False,False
1836,265101.0,921470.0,656369.0,1.4038901898170084,0.5610021786492375,144.390522875817,894.6310679611651,-814.3535980148883,20600.0,17896.0,0.206,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03768752286864252,12.868980582524271,142.6686432718096,1.5153342297371506,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2000,10000,692,60072.0,822397.0,762325.0,1.078801036303414,0.3930635838150289,86.8092485549133,3023.518382352941,-1815.0595238095239,48811.0,44176.0,0.48811,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.16631708616327073,1.2307061932761059,562.2787987748036,0.5918484286767602,True,False,False
1890,257165.0,954592.0,697427.0,1.3687339320100884,0.5513227513227513,136.06613756613757,916.1151631477927,-822.4375,18497.0,16118.0,0.18497,10,10,1.0,189.0,35.65950083778515,0.18867460760732885,83,0.03885054342542726,13.903065361950587,135.94124394843777,1.506963603518601,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,8,2,5,91,18,69,46,46,3,5,152,103,3,153,4,4,1750,10000,806,59486.0,910363.0,850877.0,1.0699113972994923,0.36352357320099254,73.80397022332507,3107.0409556313994,-1658.6296296296296,61906.0,60056.0,0.61906,5,4,0.8,161.2,48.74997435896761,0.30241919577523335,86,0.16795548532427798,0.9609084741382096,838.789563931009,0.4468036455506964,True,False,False
1836,262186.0,918555.0,656369.0,1.3994490903744692,0.5610021786492375,142.80283224400873,891.8009708737864,-814.3535980148883,20600.0,17896.0,0.206,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03520782955611665,12.72747572815534,144.25484198240943,1.498671903756925,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2000,0,692,59872.0,822197.0,762325.0,1.078538681008756,0.3930635838150289,86.52023121387283,3022.783088235294,-1815.0595238095239,48811.0,44176.0,0.48811,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.27543760021378944,1.2266087562229826,564.1570684126136,0.5898779651374183,True,False,False
1861,252641.0,949019.0,696378.0,1.3627929084491468,0.569048898441698,135.75550779150993,896.1463644948064,-868.3017456359103,18943.0,15495.0,0.18943,10,10,1.0,186.1,37.45784297046481,0.20127803853017093,77,0.01975530495841926,13.33690545320171,139.53761661804697,1.4857181661674206,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,5000,759,93389.0,995698.0,902309.0,1.1035000205029541,0.4519104084321476,123.0421607378129,2902.9096209912536,-2169.012019230769,49688.0,47186.0,0.49688,5,4,0.8,151.8,45.805676504119006,0.30175017459893944,78,0.05344312499330756,1.8795081307357913,403.8290590968958,0.8314412088348766,True,False,False
1852,261002.0,946902.0,685900.0,1.3805248578509988,0.562634989200864,140.92980561555075,908.7351247600768,-846.7901234567901,20958.0,18158.0,0.20958,10,10,1.0,185.2,38.519605397771144,0.20798923000956343,74,0.038279400157853194,12.453573814295257,148.71233170627045,1.466328546707277,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,8,1,5,91,5,14,28,28,3,1,152,103,52,153,4,4,2250,10000,713,56678.0,871777.0,815099.0,1.0695351116858198,0.4165497896213184,79.49228611500702,2935.276094276094,-1959.3725961538462,54635.0,50518.0,0.54635,5,3,0.6,142.6,45.230962846262734,0.31718767774377793,69,0.17627650940400155,1.0373936121533816,687.2993930625639,0.5122628577740513,True,False,False
1836,244366.0,874806.0,630440.0,1.387611826660745,0.5479302832244008,133.09694989106754,869.5884691848906,-759.566265060241,18706.0,17122.0,0.18706,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.030654837416007136,13.063509034534373,140.54416735552408,1.465821180475205,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,1500,7500,692,73097.0,736466.0,663369.0,1.1101905575931343,0.3338150289017341,105.63150289017341,3188.164502164502,-1438.9783080260304,42276.0,36686.0,0.42276,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.10248026594798693,1.7290424827325197,400.22151387881854,0.7738376731478827,True,False,False
1879,234014.0,921619.0,687605.0,1.3403320220184554,0.5529536987759447,124.54177754124534,887.0250240615977,-818.577380952381,16474.0,14614.0,0.16474,10,10,1.0,187.9,35.94843529279126,0.19131684562422172,82,0.02560103241686395,14.205050382420785,132.27689796336972,1.4615675218836952,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1750,6000,795,59580.0,890139.0,830559.0,1.0717348195612835,0.36981132075471695,74.94339622641509,3027.683673469388,-1657.802395209581,50815.0,47686.0,0.50815,5,4,0.8,159.0,49.282857060036605,0.30995507584928683,82,0.10055387713997986,1.1724884384532126,678.0450654582075,0.5007728325766378,True,False,False
