famiglia,strategia,e_strategia,capofila,simbolo,timeframe,motore,atteso_per_trade,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,plateau_min,wfo_efficienza,mc_dd_p95,stop_loss_pt,take_profit_pt,stop_loss,take_profit,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,ptn_dir_no,start_hour,end_hour,skip_day,max_bars,intraday_only,breakout_offset_ticks,level_source,n_sess,lev_include_sess0,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,bb_length,bb_num_devs
6,6,False,False,NQ,15m,BO,100.8,298.4,39091,14208,131,1.28,0.66,0.34,34456,100.0,150,2000,3000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
7,7,True,True,NQ,15m,TF_U,155.9,551.5,85485,29837,155,1.29,0.43,0.28,56245,200.0,250,4000,5000,,,,,17,10,4,368,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,118.5,419.4,67531,29222,161,1.25,0.8,0.28,49814,150.0,250,3000,5000,,,,,17,10,4,644,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,104.8,370.8,60819,29222,164,1.22,0.43,0.28,47921,150.0,250,3000,5000,,,,,17,10,4,368,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,104.7,370.6,67076,26221,181,1.47,0.55,0.28,37503,250.0,375,5000,7500,,,,,17,10,4,48,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,95.6,338.1,56462,25577,167,1.24,0.69,0.28,45728,112.5,250,2250,5000,,,,,17,10,4,644,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,94.1,333.0,60271,26420,181,1.75,0.52,0.28,28609,25.0,0,500,0,,,,,17,10,4,184,0,,,,,28,77,114,39,,
7,7,False,False,NQ,15m,TF_U,73.2,259.1,46384,20588,179,1.59,0.76,0.28,26774,25.0,250,500,5000,,,,,17,10,4,0,0,,,,,28,77,114,39,,
8,9,True,True,NQ,15m,RBB_M,110.4,200.5,104240,27622,520,1.21,0.72,0.55,59890,100.0,500,2000,10000,53,46,-48,37,7,6,-1,0,1,,,,,,,,,10,2.5
8,9,False,False,NQ,15m,RBB_M,106.4,193.2,113044,20981,585,1.29,0.41,0.55,44029,50.0,0,1000,0,53,46,-48,37,7,6,-1,0,1,,,,,,,,,10,2.5
8,9,False,False,NQ,15m,RBB_M,99.4,180.4,102839,22982,570,1.23,0.51,0.55,48424,62.5,0,1250,0,53,46,-48,37,7,6,-1,0,1,,,,,,,,,10,2.5
9,10,True,True,NQ,15m,TF_U,85.8,303.4,91035,29723,300,1.32,0.63,0.28,48925,62.5,0,1250,0,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,85.6,302.9,91773,26437,303,1.46,0.45,0.28,41496,37.5,375,750,7500,,,,,17,7,-1,0,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,81.8,289.5,92053,27833,318,1.46,0.56,0.28,35312,37.5,500,750,10000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,72.7,257.4,81075,27833,315,1.4,0.58,0.28,37480,37.5,0,750,0,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
