codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
BTC-30M-LF-fc1ecc,BTC,30m,LF,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,4.0,46.0,1.15,0.5,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,7.2,342245.5409,433714.2321,91468.69060000003,26156.2032,2673.79328828125,47157.624700000015,64.84375,7.8125,0.640625,43.75,38.0,2,47548.567445311906,7.25748048332044,26,0.85,-6490.8179,12705.110599999998,19195.9284,5248.8695,-249.6468423076923,38072.7497,50.0,7.6923076923076925,0.6153846153846154,34.61538461538461,46.0,2,-7598.625762740385,-0.17048461041415142,-0.15980766973642185
BTC-30M-LFHL-336fad,BTC,30m,LF_HL,,intraday,1.0,29.0,56.0,-50.0,18.0,5.0,0.0,1.6,0.0,41.0,42.0,41.0,42.0,-1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,7.17,275287.01910000003,399225.1236,123938.10449999997,46889.780699999996,1823.0928417218545,51597.22439999999,58.27814569536424,0.6622516556291391,0.9735099337748344,56.29139072847682,8.0,1,38377.32203292939,5.335306739871847,23,0.94,12061.568400000007,30106.2,18044.631599999997,6260.8055,524.4160173913046,20227.4081,39.130434782608695,0.0,0.8260869565217391,65.21739130434783,7.0,1,12806.650750290704,0.5962982672011253,0.3337036059812107
BTC-30M-MAC-8c84eb,BTC,30m,MAC,,del motore,,,,,,,,0.3,2.2,,,,,,,,,,,,,,,,,0.0,0.0,20.0,50.0,2.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,7.2,688718.0029,947563.2794,258845.2758,87399.9987,2049.7559610119047,81871.99159999998,36.904761904761905,34.226190476190474,0.8154761904761905,46.726190476190474,31.0,1,95720.79549437785,8.412132030021365,72,1.02,-43452.53890000001,14873.324699999996,58325.8637,19508.9574,-603.5074847222223,72235.3607,23.61111111111111,43.05555555555556,0.8194444444444444,52.77777777777778,19.0,2,-42549.70464671583,-0.6015411078303096,-0.44451892012551214
BTC-30M-PC-c8276f,BTC,30m,PC,,overnight 10 giornate,0.0,19.0,56.0,52.0,-1.0,-1.0,460.0,0.8,0.0,,,,,,,,,53.0,3.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,213,7.18,861253.0949,1502630.5552,641377.4622,532693.4006,4043.441760093897,318237.18709999975,33.33333333333333,61.97183098591549,7.84037558685446,52.112676056338024,211.0,2,119928.59051171369,2.7063244957270447,37,0.98,-50391.74349999999,37299.01570000001,87690.7587,67507.70800000001,-1361.9390135135131,158904.30450000003,29.72972972972973,64.86486486486487,5.27027027027027,51.35135135135135,206.0,1,-51412.246685405014,-0.3171200658066502,-0.4286904937849951
BTC-30M-TFM-9efa9d,BTC,30m,TF_M,,overnight 10 giornate,0.0,55.0,56.0,52.0,-1.0,-1.0,460.0,0.2,0.0,,,,,,,,,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,7.21,1125102.7435,1785785.7190999999,660682.9743,439232.82159999997,2592.402634792627,179089.52720000024,13.36405529953917,86.17511520737328,3.172811059907834,49.30875576036866,18.5,2,156074.35513231106,6.282348058485458,114,1.03,-48298.291500000036,88766.64919999999,137064.9398,74679.02620000001,-423.66922368421086,127966.15040000001,11.403508771929824,88.59649122807018,1.912280701754386,53.50877192982456,22.0,1,-46792.97339622019,-0.37743021376378005,-0.2998120566095035
BTC-30M-VBO-987c5a,BTC,30m,VBO,,overnight 10 giornate,0.0,55.0,56.0,52.0,6.0,3.0,460.0,0.2,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,3.0,-1.0,5.0,0.0,,,,,,,,,,51,6.62,652474.179,759517.5561999999,107043.3772,81020.43329999999,12793.611352941176,49042.64169999998,25.49019607843137,72.54901960784314,4.980392156862745,54.90196078431373,4.0,1,98518.47618013642,13.304221721808275,12,0.93,13506.626600000003,30140.369899999998,16633.7432,9501.9568,1125.552216666667,34575.4488,16.666666666666664,83.33333333333334,2.1666666666666665,33.33333333333333,5.5,1,14467.141834750737,0.3906421194451713,0.1468469915054131
BTC-4H-BO-b0c1fe,BTC,4h,BO,,overnight 10 giornate,0.0,55.0,56.0,52.0,-1.0,8.0,60.0,0.3,0.0,,,,,,,,,31.0,0.0,,,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,7.19,799301.097,1060209.6113,260908.51490000004,189472.9818,5709.293549999999,126972.1451,17.142857142857142,82.14285714285714,4.242857142857143,52.142857142857146,7.0,2,111217.03835399999,6.295090126818689,45,1.03,-150287.3525,-94145.53559999999,56141.8172,31037.621499999997,-3339.718944444445,169396.63389999996,8.88888888888889,91.11111111111111,2.0,62.22222222222222,4.0,2,-145603.33024038462,-0.8871920831007731,-1.3091818699301654
BTC-4H-BOS-a0b818,BTC,4h,BO_S,,overnight 3 giornate,0.0,55.0,56.0,52.0,-1.0,4.0,18.0,0.8,3.0,,,,,,,,,53.0,1.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,7.23,1782423.8587999998,2552064.0804000003,769640.2154999999,522167.11620000005,3675.1007397938142,228961.27199999965,49.072164948453604,35.4639175257732,3.375257731958763,48.04123711340206,18.0,2,246509.01720056796,7.784826854036706,103,1.03,112108.66149999999,247364.78920000003,135256.1281,78582.8982,1088.4336067961165,116521.4258,43.689320388349515,39.80582524271845,2.2427184466019416,49.51456310679612,18.0,0,108327.21855257935,0.9621291597686576,0.43944525755194064
BTC-4H-LF-8508b9,BTC,4h,LF,,intraday,1.0,5.0,56.0,52.0,-1.0,0.0,0.0,0.75,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,6.8,221799.611,251011.7806,29212.169,637.9562,3960.707339285714,60922.303599999985,67.85714285714286,12.5,0.03571428571428571,48.214285714285715,4.0,1,32626.785307188886,3.640696393496192,15,0.95,-54386.680799999995,-46155.4889,8231.191899999998,0.0,-3625.77872,67673.1031,26.666666666666668,33.33333333333333,0.0,46.666666666666664,4.0,1,-57412.52937052023,-0.803667606606324,-1.7596747221636366
BTC-4H-LFHL-eeb933,BTC,4h,LF_HL,,intraday,1.0,55.0,56.0,52.0,8.0,20.0,0.0,0.3,1.0,41.0,42.0,41.0,42.0,1.0,-1.0,2.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,7.18,266127.06190000003,418124.6812,151997.61710000006,26475.1823,1081.8173247967482,53366.267200000075,46.7479674796748,23.577235772357724,0.33739837398373984,41.86991869918699,1.0,1,37043.79167643865,4.986803009898352,45,1.01,-51565.59019999999,-21059.2573,30506.332899999994,5994.880099999999,-1145.9020044444442,57457.39059999999,33.33333333333333,33.33333333333333,0.4,46.666666666666664,1.0,2,-51180.24951236413,-0.8974579190166008,-1.38161476447663
BTC-4H-MAC-f77a19,BTC,4h,MAC,,del motore,,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,0.0,0.0,12.0,50.0,5.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,7.12,401525.2864000001,486429.80730000004,84904.52070000002,50717.5153,5992.914722388061,46521.09270000004,44.776119402985074,38.80597014925373,2.373134328358209,43.28358208955223,7.0,2,56406.58109907694,8.63103730149485,9,0.73,28174.1193,38850.13540000001,10676.0162,5754.5944,3130.4577,14454.797999999999,44.44444444444444,55.55555555555556,1.8888888888888888,33.33333333333333,4.0,1,38397.75027733209,1.949118853130981,0.680731743161091
BTC-4H-PC-c81cdb,BTC,4h,PC,,overnight 10 giornate,0.0,2.0,56.0,52.0,-1.0,8.0,60.0,0.2,0.0,,,,,,,,,53.0,1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,83,7.11,647007.4976,786327.9008,139320.40310000005,96969.3374,7795.2710554216865,91702.49109999987,16.867469879518072,83.13253012048193,3.6626506024096384,48.19277108433735,3.0,2,91032.1604385208,7.0555062336796315,12,0.91,-47277.5483,-33589.4953,13688.053100000003,6897.8264,-3939.7956916666667,47277.5483,0.0,100.0,1.4166666666666667,75.0,2.0,2,-51856.22977950451,-1.0,-0.569647359017981
BTC-4H-TFU-82f8b9,BTC,4h,TF_U,,overnight 10 giornate,0.0,,,,-1.0,-1.0,60.0,0.2,0.0,152.0,153.0,152.0,153.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,7.23,1159737.8713,2040432.1490999996,880694.2747000001,568418.9456,1894.9965217320262,327278.15979999944,12.418300653594772,87.25490196078431,2.911764705882353,50.0,2.0,2,160391.6158622965,3.5435846742988257,138,1.03,-172238.10470000003,-14802.34199999996,157435.76220000003,82767.08870000001,-1248.1022079710146,237666.00970000002,8.695652173913043,91.30434782608695,1.7608695652173914,53.62318840579711,2.0,2,-166428.48608908732,-0.7247065111136926,-1.037638315409041
BTC-4H-VBO-6983da,BTC,4h,VBO,,overnight 5 giornate,0.0,55.0,56.0,13.0,-1.0,12.0,30.0,0.9,0.0,,,,,,,,,53.0,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.7,9.5,5.0,0.0,,,,,,,,,,110,7.12,1069760.1349000002,1307386.5832000002,237626.44889999993,181498.5306,9725.092135454546,135272.8187999999,49.09090909090909,40.0,5.172727272727273,100.0,30.0,0,150280.72664316348,7.908167689487084,26,0.96,-91085.29249999998,-47056.18539999999,44029.107,29787.6777,-3503.28048076923,143800.082,30.76923076923077,61.53846153846154,3.269230769230769,100.0,19.0,2,-94513.92922052555,-0.6334161374122164,-0.628915838588841
CC-15M-RBBM-c14423,CC,15m,RBB_M,,overnight 10 giornate,0.0,27.0,56.0,52.0,-1.0,-1.0,350.0,0.8,0.0,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,13.11,41397.195700000004,71386.1792,29988.979600000002,7551.029999999999,356.87237672413795,20734.779899999994,39.6551724137931,55.172413793103445,8.310344827586206,48.275862068965516,213.5,4,3156.644202385178,1.996510013593152,8,0.79,15509.8025,17529.977,2020.1745999999998,472.7296,1938.7253125,4940.5404,37.5,50.0,10.625,50.0,268.5,1,19601.921671712804,3.139292717857342,6.209734266820912
CL-15M-LFHL-dfb899,CL,15m,LF_HL,,overnight 10 giornate,0.0,55.0,56.0,52.0,-1.0,10.0,920.0,0.6,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,13.03,192318.87190000003,199341.19040000005,7022.318799999998,2956.54,3561.4605907407413,10391.158899999999,40.74074074074074,59.25925925925925,7.0,70.37037037037037,474.0,2,14757.241168377102,18.50793292170713,12,0.76,-17369.2388,-16247.6463,1121.5924000000002,218.08610000000002,-1447.4365666666665,21240.8376,16.666666666666664,83.33333333333334,4.166666666666667,50.0,218.0,1,-22902.94033104693,-0.817728524980578,-1.551979809080103
CL-15M-RBBM-357d53,CL,15m,RBB_M,,intraday,1.0,55.0,56.0,41.0,-1.0,-1.0,0.0,0.75,0.0,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,13.09,110615.21629999999,120403.20180000002,9787.985999999999,0.0,850.8862792307691,43150.8241,61.53846153846154,17.692307692307693,0.0,47.69230769230769,79.0,2,8450.57681522171,2.5634554752339014,52,0.92,-15122.105000000001,-11206.911000000004,3915.194399999999,0.0,-290.80971153846156,30805.7243,38.46153846153847,17.307692307692307,0.0,38.46153846153847,79.5,2,-16389.75920252226,-0.4908862019517587,-1.9394840803056184
CL-1H-LF-5c157f,CL,1h,LF,,overnight 5 giornate,0.0,55.0,56.0,-30.0,9.0,13.0,115.0,0.5,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,12.92,182145.97129999995,188525.935,6379.9644,2464.7699999999995,3502.8071403846143,20130.9007,40.38461538461539,55.769230769230774,3.5961538461538463,46.15384615384615,51.0,3,14101.063166029033,9.04807857405009,13,0.86,-14743.154199999999,-12859.440099999998,1883.7141000000004,904.9156,-1134.0887846153846,17149.3775,7.6923076923076925,92.3076923076923,2.8461538461538463,30.76923076923077,20.0,2,-17204.271794089458,-0.8596903415298893,-1.2200691246839024
CL-1H-LFHL-c58d20,CL,1h,LF_HL,,intraday,1.0,55.0,56.0,52.0,5.0,12.0,0.0,0.8,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,13.02,45993.49349999999,49758.1031,3764.609999999999,0.0,919.8698699999998,5223.3845,64.0,18.0,0.0,64.0,10.0,1,3532.195858047728,8.805304970369304,7,0.76,4294.5959,4821.641299999999,527.0454,0.0,613.5137000000001,4459.2353,42.857142857142854,28.57142857142857,0.0,42.857142857142854,10.0,1,5662.820045036102,0.963079005945257,1.6032010320531846
CL-1H-TFM-3865b4,CL,1h,TF_M,,intraday,1.0,55.0,56.0,-29.0,-1.0,-1.0,0.0,1.25,0.0,,,,,,,,,53.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,12.84,92261.3878,98811.80859999999,6550.421399999998,0.0,1060.4757218390805,15237.2939,58.620689655172406,0.0,0.0,43.67816091954023,6.0,2,7185.17524391258,6.054971992106813,14,0.73,15343.7648,16397.8556,1054.0908,0.0,1095.9832000000001,3959.4366,64.28571428571429,7.142857142857142,0.0,35.714285714285715,8.0,1,20911.604825373135,3.8752394216894395,2.9103820179041358
CL-1H-VBO-d7d890,CL,1h,VBO,,overnight 1 giornate,0.0,37.0,2.0,52.0,3.0,12.0,23.0,0.5,0.0,,,,,,,,,53.0,-1.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,0.7,5.0,0.0,,,,,,,,,,51,12.81,112093.2232,117563.08530000002,5469.8622000000005,1629.96,2197.9063372549017,7360.470000000001,52.94117647058824,29.411764705882355,0.9215686274509803,0.0,23.0,3,8750.17092836076,15.229084990496528,9,0.48,5945.211800000001,6986.7176,1041.5058,363.8761,660.579088888889,7425.159,44.44444444444444,33.33333333333333,1.1111111111111112,0.0,23.0,0,12268.297231355933,0.8006847799488201,1.402063723303089
CL-30M-BIASW-b1dbc4,CL,30m,BIASW,,del motore,,,,,,,,1.0,0.0,152.0,153.0,152.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,700.0,2300.0,-1.0,0.0,100.0,100.0,1.0,632,13.19,153027.64620000002,183931.22290000002,30903.5804,-16681.09,242.13235158227852,48215.8457,49.5253164556962,36.075949367088604,4.450949367088608,100.0,123.0,4,11600.943913356165,3.1738040467472297,43,0.98,-680.1135,1446.233900000003,2126.3473999999997,-1111.2171,-15.816593023255814,28739.537600000003,46.51162790697674,39.53488372093023,5.1395348837209305,100.0,123.0,1,-695.8304086134453,-0.023664733562031977,-0.05998049932922578
CL-30M-BOS-a2d18a,CL,30m,BO_S,,overnight 1 giornate,0.0,55.0,56.0,52.0,6.0,13.0,46.0,0.75,4.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,11.19,101431.2476,106263.2117,4831.9644,916.7699999999999,1950.6009153846155,7292.1668999999965,53.84615384615385,28.846153846153843,0.8461538461538461,34.61538461538461,46.0,4,9062.564380112524,13.909616852022415,9,0.18,-7163.3608,-6209.2341,954.1267999999999,276.49699999999996,-795.9289777777778,16612.3055,22.22222222222222,66.66666666666666,0.7777777777777778,44.44444444444444,16.0,1,-40252.577418461544,-0.4312081065448743,-4.441632161730558
CL-30M-LFHL-238a0d,CL,30m,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,11.0,46.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,13.02,74210.66990000001,79183.69510000001,4973.0254,681.3700000000001,1301.9415771929825,6008.575999999994,70.17543859649122,1.7543859649122806,1.2280701754385965,66.66666666666666,46.0,1,5698.01286125184,12.35079158522753,13,0.76,9303.624499999998,10408.0,1104.3755,125.57690000000002,715.663423076923,10589.8227,38.46153846153847,0.0,1.4615384615384615,53.84615384615385,46.0,1,12267.685374097471,0.8785439344513292,2.152976076540882
CL-30M-MAC-dc3581,CL,30m,MAC,,del motore,,,,,,,,0.6,1.3,,,,,,,,,,,,,,,,,1.0,0.0,12.0,50.0,5.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,13.07,76644.81610000001,93517.61940000001,16872.8046,-1423.1999999999998,315.41076584362145,10366.5949,43.62139917695473,11.522633744855968,0.9876543209876543,100.0,29.0,4,5866.4122130186515,7.393441804116414,20,0.77,1411.2896000000012,2859.5819,1448.2923000000003,-57.5516,70.56448000000006,4409.977,40.0,15.0,0.65,100.0,20.0,1,1840.9768800000018,0.320021986509227,0.313816488366524
CL-30M-PC-65acec,CL,30m,PC,,overnight 1 giornate,0.0,13.0,56.0,52.0,1.0,18.0,46.0,0.6,3.0,,,,,,,,,53.0,-1.0,,,,,,0.4,2.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,114,13.11,100009.3101,112858.26070000003,12848.9508,4265.64,877.2746500000001,7414.538099999991,53.50877192982456,37.719298245614034,1.0789473684210527,0.0,46.0,2,7629.15633125,13.488272465684696,10,0.69,490.88070000000084,1599.0399000000011,1108.1590999999999,355.2371,49.08807000000009,6284.1831999999995,40.0,40.0,1.0,0.0,46.0,1,708.6726311264835,0.07811368389132908,0.09289003925947482
CL-30M-RHL-8b2671,CL,30m,RHL,,overnight 5 giornate,0.0,34.0,56.0,52.0,-1.0,2.0,230.0,1.25,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,80,13.04,331611.12189999997,343500.0276,11888.906,5865.530000000001,4145.13902375,13849.881699999998,63.74999999999999,26.25,5.6125,55.00000000000001,230.0,1,25429.553280280285,23.94324580404178,15,0.57,23139.277900000005,26875.9173,3736.6392000000005,2607.2563,1542.6185266666669,18780.855,46.666666666666664,40.0,5.0,13.333333333333334,230.0,0,40438.37920083733,1.2320673313328923,1.590211937863488
CL-30M-VBO-ac297d,CL,30m,VBO,,overnight 1 giornate,0.0,55.0,56.0,52.0,1.0,12.0,46.0,0.4,0.0,,,,,,,,,53.0,-1.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,0.7,5.0,0.0,,,,,,,,,,237,13.15,144304.576,167975.06590000002,23670.491400000003,5826.24,608.8800675105485,11905.98530000003,41.35021097046413,45.56962025316456,0.7088607594936709,0.0,46.0,3,10976.102953769263,12.120338834955529,29,0.91,-1058.2014999999988,2053.8891000000003,3112.0905999999995,928.6170000000001,-36.48970689655168,11311.6857,37.93103448275862,44.827586206896555,0.9655172413793104,0.0,46.0,1,-1160.6849786036023,-0.09354940793660832,-0.10574654624618074
CL-4H-LF-1010b4,CL,4h,LF,,intraday,1.0,55.0,56.0,52.0,12.0,-1.0,0.0,1.15,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,12.96,27209.952400000006,31377.968600000004,4168.016599999999,177.53,513.3953283018869,3606.0180000000037,56.60377358490566,0.0,0.33962264150943394,50.943396226415096,1.0,4,2098.93033032735,7.545706205570792,6,0.66,515.2719000000003,1121.0,605.7280999999999,153.9749,85.87865000000005,7636.802,50.0,0.0,0.6666666666666666,16.666666666666664,1.0,0,777.6986011363641,0.06747220891676912,0.3705213983996667
CL-4H-LFHL-1670d8,CL,4h,LF_HL,,intraday,1.0,55.0,56.0,52.0,4.0,-1.0,0.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,13.12,29270.2181,33797.8097,4527.591999999999,10.060000000000002,487.8369683333333,2855.0924000000014,58.333333333333336,0.0,0.2,58.333333333333336,1.0,3,2231.464654774577,10.25193373776624,7,0.72,-512.0453999999994,15.0,527.0454,0.0,-73.14934285714277,5689.8766,14.285714285714285,0.0,0.0,28.57142857142857,1.0,1,-713.8342837786251,-0.08999235589748984,-0.31989495430781845
CL-4H-MAC-766ad5,CL,4h,MAC,,del motore,,,,,,,,0.75,0.0,,,,,,,,,,,,,,,,,0.0,0.0,16.0,24.0,5.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,13.15,94474.90620000001,109108.83119999999,14633.9254,6577.66,882.943048598131,15354.978100000008,50.467289719626166,29.906542056074763,3.457943925233645,38.31775700934579,9.0,4,7185.955745428989,6.152721650576628,5,0.63,5095.1461,5874.8293,779.6833,403.2223,1019.02922,5245.7129,40.0,60.0,3.0,40.0,8.0,0,8091.313534891305,0.971297171067063,1.1259898921640614
ES-15M-BIASW-4870eb,ES,15m,BIASW,,del motore,,,,,,,,0.0,0.0,152.0,153.0,152.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,200.0,100.0,-1.0,0.0,100.0,100.0,1.0,674,13.17,361874.3707,542453.9301,180579.55980000002,160350.99999999997,536.9055945103858,59661.44,53.85756676557863,0.0,3.0415430267062313,100.0,270.5,2,27473.417979250677,6.065464908322696,48,0.96,66802.5132,80008.0,13205.4868,11764.877199999999,1391.719025,19223.625500000002,62.5,0.0,3.4166666666666665,100.0,271.0,0,69317.09643835228,3.4750215665614164,2.523060526750042
ES-15M-BO-289086,ES,15m,BO,,intraday,1.0,32.0,56.0,52.0,3.0,6.0,0.0,1.15,1.3,,,,,,,,,53.0,-1.0,,,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12.98,157829.03509999998,160830.3051,3001.270000000001,0.0,1578.2903509999999,13929.159600000014,64.0,18.0,0.0,34.0,69.0,3,12161.825964193036,11.330836865420066,8,0.6,-16072.687400000003,-15832.5858,240.1016,0.0,-2009.0859250000003,16984.6747,12.5,37.5,0.0,12.5,70.5,2,-26684.313967500006,-0.9463052830796932,-2.1941042443843726
ES-15M-BOS-a44bd3,ES,15m,BO_S,,intraday,1.0,55.0,56.0,52.0,21.0,8.0,0.0,0.8,0.0,,,,,,,,,53.0,3.0,,,1.0,1.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,13.19,183712.5136,214226.2804,30513.767799999998,80.89,181.17604891518738,75022.8928000001,46.84418145956607,17.94871794871795,0.0019723865877712033,47.43589743589743,65.0,4,13927.147279452054,2.448752730579855,78,0.86,-23226.8088,-20885.8183,2340.9906000000015,0.0,-297.77959999999996,40713.385299999994,35.8974358974359,30.76923076923077,0.0,43.58974358974359,76.5,2,-26932.037822857143,-0.570495639919189,-1.9337799250958125
ES-15M-LFHL-712658,ES,15m,LF_HL,,overnight 2 giornate,0.0,14.0,56.0,-30.0,-1.0,10.0,184.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,12.9,185748.21270000003,192261.36000000002,6513.147400000001,4652.36,2995.9389145161294,23429.73749999999,38.70967741935484,58.06451612903226,1.1774193548387097,85.48387096774194,63.0,3,14401.30220519529,7.927882789980047,3,0.15,16486.2159,16981.8046,495.5887,405.55060000000003,5495.405299999999,2033.2080999999998,66.66666666666666,33.33333333333333,2.0,66.66666666666666,184.0,0,111510.93254583333,8.108474435056598,7.743114543183852
ES-15M-PC-2a3e7d,ES,15m,PC,,intraday,1.0,3.0,56.0,9.0,-1.0,6.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,878,13.19,354428.57639999996,380779.7269,26351.1506,0.0,403.6771940774487,43945.17799999972,55.23917995444191,17.198177676537586,0.0,100.0,75.0,1,26880.19882269518,8.065243845411258,72,0.93,-23359.3307,-21198.416299999997,2160.9144,0.0,-324.4351486111111,31613.3985,41.66666666666667,30.555555555555557,0.0,100.0,76.5,2,-25020.514774706742,-0.7389060274554158,-0.9308158373286178
ES-15M-TFM-8a67d7,ES,15m,TF_M,,overnight 2 giornate,0.0,55.0,56.0,52.0,17.0,-1.0,184.0,1.15,0.35,,,,,,,,,53.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,13.19,284667.8081,509690.16390000004,225022.358,157793.91,127.08384290178573,75407.27940000003,71.38392857142857,13.125,1.371875,57.00892857142858,70.0,5,21584.994168263445,3.7750706611489275,167,0.97,-23893.1734,-7609.801499999994,16283.371799999997,11271.2509,-143.07289461077843,45735.8091,66.46706586826348,17.964071856287426,1.377245508982036,55.688622754491014,72.0,1,-24513.993214466293,-0.522417201535853,-1.1356960777181666
ES-1H-BOS-a4bd8a,ES,1h,BO_S,,intraday,1.0,55.0,56.0,52.0,-1.0,-1.0,0.0,0.75,3.0,,,,,,,,,53.0,4.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053,13.19,391972.79410000006,483685.12409999996,91712.3331,83.56,128.38938555519164,88505.06510000015,48.80445463478546,19.06321650835244,0.000982640026203734,50.93350802489355,20.0,4,29715.247622462644,4.428817646279539,237,0.98,-33468.856700000004,-26355.846899999997,7113.009900000001,0.0,-141.21880464135023,35512.00809999996,50.210970464135016,23.20675105485232,0.0,52.742616033755276,19.0,2,-34146.64779238827,-0.9424659007103583,-1.1491288319797073
